commit,price,shop,title
2000+,5899.00,天域手机专营店,【可选12期白条免息】Apple 苹果 iPhone 13 5G手机 星光色 128G(壳膜+品牌充电套装)
2000+,3099.00,考拉严选二手商品专营店,拍拍【二手9成新】苹果XSMAX二手手机 iPhone XS MAX 全网通4G 双卡双待 手机 银色 256G
5000+,3199.00,零一店二手商品专营店,拍拍【二手9成新】Apple iPhone XR 双卡双待 苹果x xr全网通 6.1英寸国行二手手机 珊瑚色 256G 全网通『送充电器套装』
27,3248.00,酷联数码严选优品二手手机专营店,拍拍【二手99新】苹果11二手手机 Apple iPhone11  双卡双待 移动联通电信4G通 绿色 128G 全网通
500+,9018.00,淘金手机旗舰店,Apple 苹果 iPhone 13 Pro (A2639) 支持移动联通电信5G 双卡双待 256GB远峰蓝色 官方标配【赠品牌20W闪充头+晒单有礼】
65,4099.00,在一起二手手机专营店,拍拍【二手95新】Apple iPhone 12 苹果12 二手手机 5G双卡双待 全网通 蓝色 128G 全网通(评价送好礼)
1万+,4049.00,拍拍严选官方旗舰店,拍拍Apple iPhone 11 Pro 苹果11pro手机  二手手机 灰色 256G
5,2699.00,越信二手手机专营店,拍拍【二手99新】Apple 苹果11 iPhone 11 手机通 苹果手机 二手手机 黑色 64G
5000+,8999.00,佳沪电商旗舰店,Apple 苹果 iPhone 12 Pro Max 【苹果13店内可选】5G手机 海蓝色 全网通 256GB
100+,1888.00,万事达二手手机专营店,拍拍【二手99新】Apple iPhoneX 二手苹果X 二手手机 全面屏移动联通电信4G全网通手机 银色 64GB
200+,3599.00,拍拍严选尖货旗舰店,【资源机】Apple iPhone 11 苹果11手机 大陆国行 拍拍严选 99新黑色 128G
2,8199.00,乐亨优品二手商品专营店,拍拍【二手99新】Apple iPhone 13 Pro 苹果13 Pro 国行全网通5G手机 全国联保 远峰蓝色 128GB
2000+,3199.00,小意思二手商品专营店,拍拍【二手95新】Apple iPhone 11 苹果11  二手手机 6.1英寸 国行 双卡双待 黑色 128G全网通
5000+,4599.00,拍拍严选官方旗舰店,拍拍【资源机99新】Apple iPhone 12 苹果12手机 大陆国行  拍拍严选 全网通 白色 128GB【电池效率100%】
2000+,428.00,青年优品二手商品专营店,拍拍【二手9成新】Apple iPhone 6 苹果6 手机苹果 二手手机 4.7英寸 金色 32G全网通【电池效率100%】
200+,5449.00,拍拍严选官方旗舰店,拍拍Apple iPhone 13 支持移动联通电信苹果5G手机 星光色 128GB
100+,1759.00,京致二手手机专营店,【二手9成新】二手苹果X 二手苹果手机 Apple iPhoneX 全网通 游戏拍照手机 二手手机 银白色 64G全网通【百分百电池】+20w超级快充套装
2万+,3199.00,京粉二手手机旗舰店,拍拍【二手99新】Apple iPhonex XSmax(A2104)苹果x xs max国行二手手机 金色 256G全网通『赠充电套装』
200+,1959.00,尚成严选二手手机专营店,拍拍【二手9新】苹果8plus Apple iPhone8plus 二手苹果手机 深空灰 128G通
1000+,828.00,荣盛优品二手手机专营店,拍拍【二手9成新】Apple iPhone7 苹果7 二手苹果手机 国行全网通 4.7英寸 磨砂黑 128G 全网通【电池效率100%】
1000+,5199.00,四川移动京东自营旗舰店,Apple苹果iPhone 12 5G全网通双卡手机 黑色 128GB
500+,2899.00,小龙马二手手机专营店,拍拍【二手95新】苹果xsmax 二手苹果手机 Apple iPhonexsmax 二手手机 深空灰色 256G全网通
200+,5349.00,拍拍严选官方旗舰店,Apple iPhone 13 支持移动联通电信苹果5G手机 蓝色 128GB
200+,8799.00,四川移动京东自营旗舰店,苹果Apple iPhone 12 Pro Max (A2412) 256GB 海蓝色 支持移动联通电信5G 双卡双待手机
1万+,4799.00,银河信业手机专营店,Apple 苹果 iPhone11手机【春节不打烊 部分地区可当日达】  iPhone11（绿色） 128GB
1000+,676.00,机淘淘二手商品专营店,拍拍【二手9成新】Apple iPhone SE 2 苹果se2大陆国行 A13芯片4G全网通 二手手机 SE1代【颜色备注】 64G
2万+,585.00,闪搜二手手机专营店,拍拍【二手9成新】苹果6手机 Apple iPhone6 二手手机 6 s 苹果手机六国行全网通 金色【赠充电器+数据线+壳+膜】【电池100%】 苹果6-64G 全网通
1万+,5638.00,头号卖家旗舰店,【12期免息可选】Apple 苹果 iPhone 12 5G手机 黑色 5G版 128G 12期免息
1000+,13888.00,久汇通手机旗舰店,Apple 苹果iPhone13 Pro Max 苹果13ProMax 5G手机 全网通双卡双待 1TB 远峰蓝色 官方标配+(20w闪充 套装）
100+,9799.00,云南联通京东自营旗舰店,Apple iPhone 13 Pro Max (A2644) 256GB 石墨色 支持移动联通电信5G 双卡双待手机
14,3579.00,拾锦二手商品专营店,拍拍【二手99新】Apple iPhone 12 mini苹果12mini 5.4寸 国行5G 二手手机 海蓝色 128G全网通
500+,6799.00,中国电信自营旗舰店,Apple iPhone 13 (A2634) 256GB 粉色 支持移动联通电信5G 双卡双待手机
100万+,5299.00,Apple产品京东自营旗舰店,京品手机Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待【购机补贴版】
3,4599.00,豪机汇二手手机专营店,拍拍【二手99新】Apple iPhone 13 mini (A2629) 苹果13mini 二手手机 星光色 128G 全网通
200+,9788.00,Apple美承onezero专卖店,Apple iPhone 13 Pro Max (A2644)支持移动联通电信5G 双卡双待手机 银色 256GB【官方标配】
5000+,8399.00,Apple产品京东自营旗舰店,Apple iPhone 13 (A2634) 512GB 午夜色 支持移动联通电信5G 双卡双待手机【购机补贴版】
0,1419.00,帝企鹅优品二手手机专营店,拍拍【二手9成新】苹果se2 Apple iphone se 2 二代手机 白色 64G 全网通
12,6399.00,上海联通京东自营旗舰店,Apple iPhone 12 (A2404) 256GB 蓝色 支持移动联通电信5G 双卡双待手机
2000+,9168.00,耐谷手机旗舰店,Apple 苹果13Pro Max iPhone 13Pro Max 5G手机 远峰蓝色 128GB
100+,8999.00,四川移动京东自营旗舰店,Apple iPhone 13 Pro Max (A2644) 128GB 远峰蓝色 支持移动联通电信5G 双卡双待手机
1000+,1999.00,原品汇二手商品专营店,拍拍【二手9成新】苹果8Plus Apple iPhone8Plus苹果8P二手手机全新品牌电池质保一年 深空灰 256G 全网通【全新品牌电池100%】
1000+,8299.00,久汇通手机旗舰店,Apple 苹果 iPhone13Pro 苹果13Pro 5G手机 (现货速发 白条12期免息可选） 128GB 远峰蓝色 官方标配+(苹果原装 20w闪充 套装）
500+,1998.00,荣盛优品二手手机专营店,拍拍【二手9成新】苹果x xr Apple iphonex xr 二手苹果手机 二手手机 全网通 白色 64G【送20W快充套装】全网通
1000+,8499.00,上海电信京东自营旗舰店,Apple iPhone 13 Pro (A2639) 128GB 无忧套装 金色 支持移动联通电信5G 双卡双待手机
32,3999.00,重庆电信京东自营旗舰店,Apple苹果iphone SE小屏幕旗舰手机全网通 红色 256GB
1000+,2049.00,原品汇二手商品专营店,拍拍【二手9成新】Apple iPhone X 苹果X 二手苹果二手手机全网通非5G全新品牌电池质保一年 深空灰 256G全网通【全新品牌电池100%】
1000+,4688.00,传奇二手商品专营店,拍拍【准新机电池100%】苹果12 Apple iPhone 12 二手手机 5G全网通 国行双卡双待 绿色 128GB
2000+,1949.00,豪机汇二手手机专营店,拍拍拍拍【二手9成新】Apple iPhoneXR 苹果xr 二手手机 双卡双待 国行全网通 白色 64G 全网通
5000+,5329.00,千瑞达手机旗舰店,苹果12 手机 iphone12 5G全网通  双卡双待 【苹果13可选】 蓝色【苹果12】 全网通128GB+苹果原装20W闪充
10,4599.00,四川移动京东自营旗舰店,Apple苹果iPhone11双卡双待全网通手机 黑色 128GB
3,2968.00,友有严选二手手机专营店,拍拍【二手95新】Apple iPhone 11 苹果11二手非5G 移动联通电信4G备用机 双卡双待 黑色 128G全网通
200+,2598.00,荣盛优品二手手机专营店,拍拍【二手99成新】苹果xsmax Apple iphone xsmax 二手手机 国行 金色 64G 【送20W快充套装】全网通
1000+,8999.00,上海电信京东自营旗舰店,Apple iPhone 13 Pro Max (A2644) 128GB 石墨色 支持移动联通电信5G 双卡双待手机
1000+,6459.00,博恒聚优手机专营店,苹果12 Apple iPhone12全网通5G手机享13重礼【店内苹果13可选】 黑色 128GB【24期免息】
10,8799.00,四川移动京东自营旗舰店,苹果Apple iPhone 12 Pro Max (A2412) 256GB 海蓝色 支持移动联通电信5G 双卡双待手机
12,11499.00,广州电信京东自营旗舰店,Apple iPhone 13 Pro Max 256GB 无忧套装 金色 支持移动联通电信5G 双卡双待手机
38,5899.00,云南电信京东自营旗舰店,Apple iPhone 13 (A2634) 128GB 星光色 支持移动联通电信5G 双卡双待手机
35,6799.00,北京移动京东自营旗舰店,Apple iPhone 13 (A2634) 256GB 蓝色 支持移动联通电信5G 双卡双待手机 苹果13【移动用户专享优惠】
1000+,1638.00,考拉严选二手商品专营店,拍拍【二手9成新】Apple iPhone SE 2 二手手机 苹果SE2 苹果se2手机全网通 黑色 128G
0,5599.00,四川移动京东自营旗舰店,Apple苹果iPhone11双卡双待全网通手机 白色 256GB
4,7999.00,四川移动京东自营旗舰店,Apple iPhone 12 Pro (A2408) 256GB 石墨色 支持移动联通电信5G 双卡双待手机
2000+,8719.00,京东之家官方旗舰店,Apple 苹果 iPhone 12 Pro Max（A2412） 5G手机 海蓝色 128G 套装二：搭配 20W原装闪充
2000+,5199.00,微炫数码旗舰店,Apple苹果iPhone12 5G手机 【苹果13店内可选】 蓝色 128GB【搭配90天碎屏险】
0,4099.00,四川移动京东自营旗舰店,Apple苹果iPhone11双卡双待全网通手机 绿色 64GB
64,9099.00,云南电信京东自营旗舰店,苹果Apple iPhone 12 Pro Max (A2412) 256GB 金色 支持移动联通电信5G 双卡双待手机
1000+,3099.00,青年优品二手商品专营店,拍拍【二手95新】Apple iPhone 11 苹果11 苹果手机 移动联通电信全网通 二手手机 白色 128G 全网通
0,4099.00,四川移动京东自营旗舰店,Apple苹果iPhone11双卡双待全网通手机 紫色 64GB
72,3999.00,云南电信京东自营旗舰店,Apple苹果iphone SE小屏幕旗舰手机全网通 红色 256GB
0,4099.00,四川移动京东自营旗舰店,Apple苹果iPhone11双卡双待全网通手机 红色 64GB
2万+,5058.00,茄子手机旗舰店,Apple 苹果iPhone 12【苹果13店内有售】 5G 手机 绿色 全网通 128GB
100+,8799.00,四川电信京东自营旗舰店,苹果Apple iPhone 12 Pro Max (A2412) 256GB 海蓝色 支持移动联通电信5G 双卡双待手机
1,4099.00,四川移动京东自营旗舰店,Apple苹果iPhone11双卡双待全网通手机 紫色 64GB
44,9748.00,中国电信自营旗舰店,Apple* 苹果iPhone 13Pro Max 双卡双待5G手机 石墨色256G
39,5199.00,江苏电信京东自营旗舰店,Apple iPhone 12 (A2404) 128GB 黑色 支持移动联通电信5G 双卡双待手机J
2000+,8328.00,酷族数码旗舰店,Apple/苹果 iPhone 12 Pro Max 全网通5G手机【苹果13，苹果11店内可选】 海蓝色 全网通 128G【官方标配】
22,8999.00,云南电信京东自营旗舰店,Apple iPhone 13 Pro Max (A2644) 128GB 远峰蓝色 支持移动联通电信5G 双卡双待手机
2,5599.00,四川移动京东自营旗舰店,Apple苹果iPhone11双卡双待全网通手机 红色 256GB
2,3999.00,四川移动京东自营旗舰店,Apple苹果iphone SE小屏幕旗舰手机全网通 红色 256GB
1,3999.00,云南联通京东自营旗舰店,Apple苹果iphone SE小屏幕旗舰手机全网通 红色 256GB
0,4599.00,四川移动京东自营旗舰店,Apple苹果iPhone11双卡双待全网通手机 绿色 128GB
0,4099.00,四川移动京东自营旗舰店,Apple苹果iPhone11双卡双待全网通手机 红色 64GB
200+,12399.00,微炫数码旗舰店,Apple 苹果iPhone 13 Pro Max 5G手机 全网通 远峰蓝色 512GB【20W原装充电套装+壳膜】
2000+,5989.00,微炫数码旗舰店,Apple苹果 iPhone 13 5G手机 双卡双待 星光色 128GB【搭配90天碎屏险】
200+,11158.00,京东之家官方旗舰店,【24期白条分期免息】Apple 苹果 iPhone 13 Pro Max（A2644）5G手机 128G 远峰蓝色（享一年延保） 套装三：24期白条分期免息
5万+,1269.00,博远二手商品专营店,拍拍【二手9成新】苹果7Plus手机 Apple iPhone7Plus 苹果7P 二手手机 磨砂黑 128G 全网通
1000+,6199.00,冰之凯盛手机旗舰店,Apple 苹果 iPhone 11 Pro Max 手机 深空灰色 全网通 64G
1000+,3058.00,熊猫严选二手商品专营店,拍拍【二手9成新】Apple iPhone XS Max 苹果xsmax 国行 二手手机 深空灰色 256G
25,8999.00,四川联通京东自营旗舰店,Apple iPhone 13 Pro Max (A2644) 128GB 远峰蓝色 支持移动联通电信5G 双卡双待手机
1000+,638.00,谷风羽二手手机专营店,拍拍【二手9成新】苹果6 s Apple iPhone6 s 二手手机 苹果手机非plus 国行全网通 金色 苹果6s 64G【电池100%】
500+,3728.00,掌视界数码旗舰店,Apple iPhone XR (A2108)苹果XR 全网通4G手机(新包装)【苹果13店内可选】 黑色 全网通128G
500+,2858.00,壹思海外专营店,京东国际Apple 苹果iphone11 手机（美版有锁激活）电信联通移动4G智能手机苹果11 黑色 64GB美版有锁激活移动联通电信
200+,2856.00,小皮科技二手商品旗舰店,拍拍【已验机】Apple iPhone 苹果xs Max 二手手机 非国行 无锁版 插卡即用 全网通4G 深空灰色 256G
0,8288.00,四川移动京东自营旗舰店,Apple苹果iPhone 11 Pro Max大屏手机 双卡双待 金色 64GB
56,4899.00,成都联通京东自营旗舰店,Apple iPhone 12 mini (A2400) 128GB 黑色 手机 支持移动联通电信5G
1000+,1629.00,青年优品二手商品专营店,拍拍【二手95新】Apple iPhone X 苹果x 二手机 全面屏面容识别 国行 4G全网通二手手机 银色 64GB 全网通
2,5599.00,四川移动京东自营旗舰店,Apple苹果iPhone11双卡双待全网通手机 白色 256GB
27,8299.00,四川联通京东自营旗舰店,Apple iPhone 13 (A2634) 512GB 粉色 支持移动联通电信5G 双卡双待手机
1000+,1569.00,悦蜂二手手机专营店,拍拍【二手9成新】苹果8plus Apple iPhone 8Plus 手机8P 5.5寸 深空灰 64G  全网通
20,5599.00,成都联通京东自营旗舰店,Apple iPhone 12 (A2404) 128GB 紫色 支持移动联通电信5G 双卡双待手机
200+,6499.00,莫拉克手机专营店,苹果Apple iPhone XS Max全网通4G手机双卡双待 深空灰色 256GB
500+,4149.00,拍拍严选尖货旗舰店,拍拍【资源机】Apple iPhone 12 mini 苹果手机 大陆国行 拍拍严选 99新白色 256G【电池效率100%】
1000+,4499.00,千瑞达手机旗舰店,Apple 苹果11 iPhone11 4G手机 全网通【苹果13 店内可选】 白色 全网通 128G（新包装）
1000+,9199.00,江苏电信京东自营旗舰店,Apple iPhone 12 Pro Max (A2412) 256GB 银色 支持移动联通电信5G 双卡双待手机J
200+,2283.00,爱乐优二手商品专营店,拍拍【二手95新】Apple/苹果 iPhone XR 苹果XR 国行 6.1英寸 原装二手手机 蓝色 128G 全网通
65,4399.00,拍拍严选官方旗舰店,拍拍Apple 苹果 iPhone 12 手机 二手手机 苹果手机 99新白色 128GB
1万+,5098.00,鹏瑶旗舰店,Apple 苹果 iPhone 12【苹果13系列店内可选】 5G手机 蓝色 全网通 128GB
500+,4413.12,爱乐优二手商品专营店,拍拍【二手95新】Apple 苹果 iPhone 12 苹果12 国行  原装二手手机 黑色 95新256G
500+,2908.00,京严二手手机专营店,拍拍【二手95新】苹果xsmax Apple iPhone XS Max x 双卡双待 手机 深空灰色 256G全网通
2,3499.00,华信通手机专营店,Apple iPhone SE2 iPhone 苹果se2手机 黑色 128GB
500+,8799.00,Apple古霖专卖店,Apple iPhone 13 Pro (A2639) 支持移动联通电信5G 双卡双待手机 金色 256GB
1000+,2789.00,典匠二手手机专营店,拍拍【已验机】Apple iPhone 11 苹果11 二手苹果手机 大陆国行 黑色 128GB+快充+壳膜套装（膜贴好）
500+,9999.00,千瑞达手机旗舰店,Apple 苹果 iPhone 13 Pro Max (A2644)全网通5G手机（12期免息可选） 远峰蓝色 256GB官方标配
2000+,5199.00,久汇通手机旗舰店,Apple 苹果 iPhone11/苹果11 (新包装)全网通 4G手机 双卡双待 黑色 128G（无充版+12期分期）
1000+,5799.00,双果数码二手手机专营店,拍拍【二手9成新】Apple iPhone12Pro 苹果12 Pro 国行5G二手手机 海蓝色 256G全网通
2万+,945.00,闪搜二手手机专营店,拍拍9成新+】苹果7 Apple iPhone7 二手苹果手机 7 Plus 七 二手手机 国行全网通 磨砂黑色-苹果7-128G【电池100%】 苹果7-128G【全网通】
52,6149.00,成都联通京东自营旗舰店,Apple iPhone 13 (A2634) 128GB 星光色 支持移动联通电信5G 双卡双待手机 【快充套装】
200+,7949.00,京东电竞手机官方旗舰店,Apple 苹果 iPhone 12 Pro (A2408)  支持移动联通电信5G 双卡双待手机 海蓝色 512GB
500+,658.00,熊猫严选二手商品专营店,拍拍【二手9成新】Apple iPhone 6 Plus 苹果6plus 国行 二手手机 金色 64G
200+,1510.00,爱乐优二手商品专营店,拍拍【二手95成新】苹果8p 手机苹果8plus苹果手机 iPhone 8Plus 二手苹果手机 深空灰色 64G  全网通
100+,7699.00,拍拍严选官方旗舰店,拍拍Apple iPhone 13 Pro 支持移动联通电信苹果5G手机 远峰蓝 128G
2000+,4799.00,果粉二手手机专营店,拍拍【二手99新】Apple iPhone11 Pro Max (A2220)苹果11Pro Max二手 暗夜绿色 256G全网通『赠20W PD闪充』
1000+,7699.00,千瑞达手机旗舰店,Apple 苹果12 iPhone12 pro 5G手机 全网通【苹果13店内可选】 海蓝色 256GB
2000+,6038.00,OKSJ手机旗舰店,【新品】Apple 苹果iphone13 支持联通移动电信5G手机 双卡双待 苹果13 粉色 全网通 128GB + 苹果原装20w闪充
1000+,4288.00,优锋派二手商品专营店,拍拍【二手99新】Apple iPhone 12 苹果12 二手手机 5G双卡双待 国行 二手苹果12 绿色 128G
100+,3499.00,拍拍严选官方旗舰店,拍拍【资源机】苹果 iPhone 11 手机 拍拍严选 苹果手机 白色 128GB
500+,4794.00,京东之家官方旗舰店,Apple 苹果 iPhone 11（A2223） 4G手机 新包装 绿色 128G 套装三：搭配 12期白条免息
2000+,1688.00,勿潇电子二手手机专营店,拍拍【二手9新】Apple iPhoneX 苹果X 二手苹果手机 国行全网通 白色 64G 全新品牌电池（100%效率）+20W快充
17,4999.00,全城堂数码专营店,Apple 苹果 iPhone 12  支持移动联通电信5G 蓝色 64G
1000+,5799.00,好采机二手手机旗舰店,拍拍【二手9成新】Apple iPhone12Pro 苹果12 Pro 国行二手5G手机 海蓝色 256G全网通
500+,2120.00,小皮科技二手商品旗舰店,拍拍【已验机】Apple  iPhone 苹果XR 二手苹果手机  非国行 外版 无锁版 插卡即用 黑色 【外版 全网通4G】128G
500+,2120.00,小皮科技二手商品旗舰店,拍拍【已验机】Apple iPhone 苹果XR 二手苹果手机 国行 移动联通电信4G手机 双卡双待 黑色 128G
2000+,1066.00,抖机优品二手手机专营店,拍拍【二手9成新】AppleiPhone8(A1863)苹果8游戏二手手机 金色 64G 全网通『赠充电套装』
500+,13999.00,银河信业手机专营店,Apple iPhone 苹果13ProMax 5G双卡双待手机【春节不打烊 部分地区可当日达】 银色 1TB
2000+,2279.00,龙飞优品二手手机专营店,拍拍【二手95新】苹果x xr Apple iPhone XR 二手苹果手机 双卡双待 黑色+赠蓝牙耳机 128G
500+,2169.00,百世二手手机专营店,拍拍【二手95新】Apple iPhone X 苹果x 二手苹果手机 5.8英寸 银色 256G全网通【白条6期免息】
500+,5899.00,中国移动手机官方旗舰店,Apple 苹果 iPhone 13 mini (A2629)  全网通 5G手机 午夜色 256GB
1000+,545.00,熊猫严选二手商品专营店,拍拍【二手9成新】Apple iPhone 6 苹果6 国行 二手手机 银色 64G
5,5898.00,炜东电商旗舰店,Apple 苹果 iPhone 13 (A2634) 5G 双卡双待手机 星光色 128GB
2000+,3199.00,真不同二手商品专营店,拍拍【二手99新】苹果11 二手苹果手机 Apple iPhone 11 二手手机 黑色 128G 全网通『赠20W PD闪充』
2000+,1909.00,百世二手手机专营店,拍拍【二手95新】Apple iPhone X 苹果x 二手手机 全面屏 苹果手机 5.8英寸 灰色 256G 全网通+赠送充电套装
1000+,2838.00,首昕二手手机专营店,拍拍【二手99新】Apple iPhone 11 苹果11双卡双待二手手机苹果国行全网通二手手机苹果11 紫色【赠：5件套】 64GB
500+,1909.00,百世二手手机专营店,拍拍【二手95新】Apple iPhone X 苹果X 二手苹果手机 灰色 256G 全网通【赠充电套装】
100+,2429.00,爱乐优二手商品专营店,拍拍【二手99新】 Apple iPhone XS 苹果XS 国行 5.8英寸 全网通 二手手机 金色 95新256G 全网通
200+,6888.00,OKSJ手机旗舰店,Apple苹果 iPhone 13 mini (A2629)支持移动联通电信 全网通5G手机 512GB  午夜色 官方标配
200+,9999.00,微炫数码旗舰店,Apple苹果iPhone12 pro max 5G手机 【苹果13店内可选】 海蓝色 512GB【壳膜+品牌充电套装】
29,5899.00,千瑞达手机旗舰店,苹果13 Apple iPhone13 5G手机 午夜色 128GB
2000+,2399.00,龙飞优品二手手机专营店,拍拍【二手95成新】苹果x Apple iPhone X 二手苹果手机 银色 256G全网通
2000+,1199.00,抖机优品二手手机专营店,拍拍【二手9成新】AppleiPhone7Plus(A1661)苹果7Plus游戏二手手机 黑色 128G 全网通『赠苹果充电器』
7,8999.00,一佳手机专营店,Apple iPhone 苹果13 Pro Max 5G手机 石墨色 128GB
20,6999.00,晶翼达手机专营店,Apple 苹果iPhone 12 （白条0首付6期免息可选）全网通手机 蓝色 256GB
200+,7798.00,酷族数码旗舰店,Apple/苹果 iPhone 12 Pro 全网通5G手机【苹果13，苹果11店内可选】 石墨色 全网通 256G【官方标配】
90,5088.00,酷族数码旗舰店,Apple/苹果 iPhone 13 mini 全网通 5G手机【苹果12，苹果11店内可选】 午夜色 全网通 128G【碎屏险季卡+充电套餐】
200+,4299.00,豫穆手机专营店,Apple 苹果 iPhone XR 手机【白条分期6期分期0首付】移动联通电信4G手机 双卡双待 白色 白条分期64GB
5000+,818.00,远洋二手商品专营店,拍拍【二手9成新】Apple iPhone 7 苹果7 国行 二手手机 金色 128G 全网通+180天碎屏险
500+,1138.00,考拉严选二手商品专营店,拍拍【二手95新】苹果8 Apple iPhone 8  二手手机 国行全网通 深空灰 64G
200+,1628.00,华语二手手机专营店,拍拍【二手95新】Apple iPhone SE 2 苹果se2 国行原装二手苹果手机 4G全网通 黑色 128GB
100+,3728.00,酷族数码旗舰店,Apple 苹果手机 iPhone XR 新包装 全网通【苹果13，苹果12店内可选】 黑色 全网通 128G【官方标配】
50,5399.00,莫拉克手机专营店,苹果Apple iPhone XS 全网通4G手机苹果xs 金色 512GB
62,5674.00,京东之家官方旗舰店,【24期白条分期免息】Apple 苹果 iPhone 13 mini （A2629）全网通5G手机 128G 粉色（享一年延保） 套装二：12期白条分期免息
2000+,6699.00,果粉二手手机专营店,拍拍【二手99新】Apple iPhone12 Pro(A2408)苹果12 Pro公开版二手手机5G 海蓝色 256G全网通『严选电池100』
200+,7859.00,华信通手机专营店,Apple iPhone苹果12Pro 5G手机【苹果12promax店内可选】 海蓝色 256G
1000+,861.00,谷风羽二手手机专营店,拍拍【二手9成新】苹果7手机 Apple iPhone7 二手手机 二手苹果手机七 国行全网通非plus 金色【电池100%】 128G全网通
100+,1908.00,小皮科技二手商品旗舰店,拍拍【已验机】苹果X  Apple iPhone X 二手苹果手机 非国行 外版 无锁版 插卡即用 深空灰色 【全网通4G】256G
10,5999.00,APPLE鼎峰专卖店,Apple 苹果 iPhone 13 mini 支持移动联通电信5G手机 全网通手机 星光色 全网通256GB（赠品胜闪充头）
1000+,938.00,考拉严选二手商品专营店,拍拍【二手9成新】国行Apple iPhone 6s Plus 苹果6s Plus二手手机 苹果6sp 金色 128G
500+,4899.00,冰之凯盛手机旗舰店,Apple 苹果 iPhone 11Pro 手机 金色 全网通 64G
500+,2989.00,尚成严选二手手机专营店,拍拍【二手95新】Apple iPhone 11 苹果11 二手苹果手机 国行双卡 黑色 128G全网通
500+,8988.00,OKSJ手机旗舰店,Apple苹果iPhone13 ProMax(A2644)支持移动联通电信 双卡双待全网通5G手机 128GB 银色  官方标配
500+,3049.00,传奇二手商品专营店,拍拍【二手99新】Apple iPhone 12 mini 5G 苹果12mini二手手机12迷你全网通 白色 64GB
20,4699.00,莫拉克手机专营店,苹果Apple iPhone 11 全网通4G手机 白色 128GB新包装简包无充
500+,1148.00,熊猫严选二手商品专营店,拍拍【二手9成新】Apple iPhone 8 苹果8 国行 二手手机 银色 64G
100+,4989.00,忠诚优品二手手机专营店,拍拍【二手95新】苹果12 Apple iPhone 12 (A2404) 二手手机 5G全网通双卡双待 白色 128G【白条12期免息】
500+,3149.00,爱相随二手手机专营店,拍拍【二手99新】Apple iPhone12mini 苹果12mini 二手苹果原装国行二手手机 黑色 64G 全网通 （评价有礼）
1000+,1458.00,远洋二手商品专营店,拍拍【二手9成新】苹果8 Apple iPhone 8 二手手机 国行 全网通 深空灰 256G  全网通
200+,2199.00,盛邦二手手机专营店,拍拍【二手95新】苹果xr Apple iPhone XR 双卡双待 国行通 二手手机 黑色 128G全网通送20W快充
200+,1678.00,人人优选二手手机专营店,拍拍【二手9新】Apple iPhone X 二手苹果X 二手手机 苹果x移动联通电信全网通4G手机 银白色（评价有礼） 64G 全网通
200+,1588.00,番茄二手手机专营店,拍拍【二手9成新】苹果8 Plus手机 Apple iphone 8P 国行 二手 手机 全网通 深空灰 64G全网通＋赠送充电器套装
1000+,4478.00,传奇二手商品专营店,拍拍【二手95新】Apple iPhone 11 Pro Max 苹果11ProMax 国行苹果二手手机 暗夜绿色 256GB 全网通
5000+,1699.00,京选二手手机专营店,拍拍【二手9成新】苹果8plus手机Apple iPhone 8P苹果8p二手苹果手机游戏手机吃鸡王者 黑色 64G 全网通
500+,4688.00,优锋派二手商品专营店,拍拍【二手99新】Apple iPhone 13 mini (A2629) 苹果13mini 二手手机 午夜色【官方在保】 128G
200+,3499.00,在一起二手手机专营店,拍拍【二手99新】Apple iPhone12mini 苹果12mini 5G手机 全网通 二手苹果手机 蓝色 128G 全网通(评价送好礼)
2000+,1789.00,拍拍严选官方旗舰店,拍拍【二手】Apple iPhone SE2 iPhone 苹果se2手机  二手手机 9新白色 64G
2000+,478.00,机淘淘二手商品专营店,拍拍【二手9成新】Apple iPhone se 苹果手机 苹果se手机 国行 全网通 二手手机 玫瑰金 16G 全网通（100%电池）
500+,1828.00,大牛优品二手手机专营店,拍拍【二手9成新】Apple iPhoneXs 苹果Xs 全面屏 5.8英寸  国行全网通 二手手机 金色 【国行-64G】赠充电套装
200+,2199.00,帝企鹅优品二手手机专营店,拍拍【二手9成新】苹果 xr Apple iPhone XR  二手苹果手机 黑色+赠蓝牙耳机 128G
100+,2819.00,卓越优品二手手机专营店,拍拍【二手95新】Apple iPhone 11 二手手机 苹果 11 国行 全网通 双卡 黑色 95新128G
200+,818.00,远洋二手商品专营店,拍拍【二手9成新】 苹果7 Apple iPhone 7 二手手机 国行 全网通 磨砂黑 128G全网通+180天碎屏险
2000+,3058.00,考拉严选二手商品专营店,拍拍【二手9成新】苹果XSMAX二手手机 iPhone xsmax 全网通 双卡双待 国行 深空灰色 256G
43,7699.00,楽天海外官方旗舰店,京东国际Apple 苹果 iPhone13手机 支持移动联通电信5G 无锁日版日本直邮 iphone13蓝色 256GB
31,7149.00,首昕二手手机专营店,拍拍【二手99新】Apple iPhone12ProMax 苹果12 Pro Max 双卡双待5G全网通 海蓝色 256G 6期白条免息
200+,268.00,新起点优品二手手机专营店,拍拍【二手8成新】Apple IPhone 4 苹果4s 移动联通版
75,2299.00,原品汇二手商品专营店,拍拍【二手9成新】Apple 苹果xr iPhone xr 苹果二手手机 支持双卡国行 黑色 128G【国行全网通】
